,rank,names,nationality,gender,age_category,time,race
1387,1388,Ying Suet NG,"Hong Kong, China",Women,45-49,14:16:08,OCC
1388,1389,Nataliya MARMIER,France,Women,70-74,14:16:30,OCC
1389,1390,Anonymous,Thailand,Men,55-59,14:16:31,OCC
1390,1391,Ida MEOMARTINO,United States of america,Women,60-64,14:18:13,OCC
1391,1392,Matthew HOGG,United States of america,Men,60-64,14:18:56,OCC
1392,1393,Joe DOMINIC PAUL,France,Men,20-34,14:19:08,OCC
1393,1394,Michel MAILLARD,Switzerland,Men,65-69,14:21:50,OCC
1394,1395,Bing XIAO,China,Men,55-59,14:23:21,OCC
1395,1395,Yan CHEN,China,Women,40-44,14:23:21,OCC
1396,1397,Surasak JANTAPAN,Thailand,Men,45-49,14:23:49,OCC
1397,1398,Tawee DEETHO,Thailand,Men,45-49,14:23:54,OCC
1398,1399,Armando LECAROS,Australia,Men,50-54,14:25:42,OCC
1399,1400,Piyakarn NETPRASOM,Thailand,Men,20-34,14:26:38,OCC
1400,1401,Anonymous,"Hong Kong, China",Men,60-64,14:26:44,OCC
1401,1402,Anonymous,Brazil,Men,50-54,14:26:47,OCC
1402,1403,Zaeem EBRAHIM,South Africa,Men,20-34,14:27:55,OCC
1403,1404,William LOMEL,United States of america,Men,60-64,14:30:35,OCC
1404,1405,Takushi INOUE,Japan,Men,45-49,14:30:38,OCC
1405,1406,Ivan JOUY,France,Men,60-64,14:34:46,OCC
1406,1407,Nopakao CHIEWCHAN,Thailand,Women,55-59,14:40:37,OCC
1407,1407,Nurul Ainul Fazlin ADAM,Malaysia,Women,40-44,14:40:37,OCC
1408,1409,Kanchalarat PISPAN,Thailand,Women,40-44,14:41:17,OCC
1409,1410,Nattapat BURAPHATANIN,Thailand,Men,40-44,14:41:19,OCC
1410,1411,Teguh Yudana YEKTI,Indonesia,Men,40-44,14:42:05,OCC
1411,1412,Antonio Jose BELLONI,Brazil,Men,55-59,14:42:07,OCC
1412,1413,Pharinthorn TIYAVUTIROJ,Thailand,Women,50-54,14:42:09,OCC
1413,1414,Anonymous,France,Men,70-74,14:46:52,OCC
1414,1415,Ngamjit WANNAPRASERT,Thailand,Women,50-54,14:47:14,OCC
1415,1416,Brian DUGUID,United Kingdom,Men,65-69,14:48:43,OCC
1416,1417,Martine CANU,France,Women,65-69,14:53:22,OCC
1417,1418,Man Kuen YUNG,"Hong Kong, China",Women,50-54,15:06:33,OCC
1418,DNF,Chartiporn CHARNSAMAI,Thailand,Men,50-54,-,OCC
1419,DNF,Rui UEDA,Japan,Men,20-34,-,OCC
1420,DNF,Miguel BENITEZ,Spain,Men,20-34,-,OCC
1421,DNF,Laurel AWALD,United States of america,Women,20-34,-,OCC
1422,DNF,Denis CALVET,France,Men,60-64,-,OCC
1423,DNF,Ping Yee WONG,"Hong Kong, China",Women,55-59,-,OCC
1424,DNF,Wong BOON TONG WILSON,Singapore,Men,50-54,-,OCC
1425,DNF,Colin HERCUS,Australia,Men,75-79,-,OCC
1426,DNF,Riccardo MONTANI,Italy,Men,20-34,-,OCC
1427,DNF,Elisa DESCO,Italy,Women,40-44,-,OCC
1428,DNF,Eugenio GIL,Spain,Men,20-34,-,OCC
1429,DNF,Nicolas MARTIN,France,Men,35-39,-,OCC
1430,DNF,Sammy Rotich CHELANGAT,Kenya,Men,20-34,-,OCC
1431,DNF,Matt LENEHAN,United States of america,Men,20-34,-,OCC
1432,DNF,Anna COMET PASCUA,Spain,Women,40-44,-,OCC
1433,DNF,Juan Gregorio SANCHEZ MORENO,Spain,Men,50-54,-,OCC
